event_id,person_id,date,time,location,camera_source,status

13,1,2025-12-17,03:56:11,Main Camera,Live Camera,FALL CONFIRMED
14,1,2025-12-17,03:58:54,Main Camera,Live Camera,FALL CONFIRMED
15,0,2025-12-17,04:02:08,Main Camera,Live Camera,FALL CONFIRMED
16,0,2025-12-17,04:03:20,Main Camera,Live Camera,FALL CONFIRMED
17,0,2025-12-17,04:03:31,Main Camera,Live Camera,FALL CONFIRMED
18,0,2025-12-17,04:08:59,Main Camera,iPhone Camera,FALL CONFIRMED
19,14007,2025-12-17,04:14:42,Main Camera,Live Camera,FALL CONFIRMED
20,14007,2025-12-17,04:15:06,Main Camera,Live Camera,FALL CONFIRMED
10,12008,2025-12-17,04:19:24,Main Camera,Live Camera,FALL CONFIRMED
11,6017,2025-12-17,10:49:27,Main Camera,Live Camera,FALL CONFIRMED
12,3015,2025-12-17,10:51:11,Main Camera,Live Camera,FALL CONFIRMED
13,8015,2025-12-17,10:51:14,Main Camera,Live Camera,FALL CONFIRMED
14,2015,2025-12-17,10:51:23,Main Camera,Live Camera,FALL CONFIRMED
15,13013,2025-12-17,10:54:58,Main Camera,Live Camera,FALL CONFIRMED
16,5021,2025-12-17,10:58:40,Main Camera,Live Camera,FALL CONFIRMED
17,21,2025-12-17,11:01:57,Main Camera,Live Camera,FALL CONFIRMED
18,2021,2025-12-17,11:02:19,Main Camera,Live Camera,FALL CONFIRMED
19,2021,2025-12-17,11:02:31,Main Camera,Live Camera,FALL CONFIRMED
20,21,2025-12-17,11:02:41,Main Camera,Live Camera,FALL CONFIRMED
21,18,2025-12-17,11:16:18,Main Camera,Live Camera,FALL CONFIRMED
22,18,2025-12-17,11:16:33,Main Camera,Live Camera,FALL CONFIRMED
23,6018,2025-12-17,11:16:41,Main Camera,Live Camera,FALL CONFIRMED
24,15,2025-12-17,11:19:07,Main Camera,Live Camera,FALL CONFIRMED
25,13,2025-12-17,11:25:34,Main Camera,Live Camera,FALL CONFIRMED
26,10016,2025-12-17,11:26:00,Main Camera,Live Camera,FALL CONFIRMED
27,11016,2025-12-17,11:26:50,Main Camera,Live Camera,FALL CONFIRMED
28,11016,2025-12-17,11:27:00,Main Camera,Live Camera,FALL CONFIRMED
29,11016,2025-12-17,11:27:07,Main Camera,Live Camera,FALL CONFIRMED
30,4013,2025-12-17,11:27:23,Main Camera,Live Camera,FALL CONFIRMED
31,14019,2025-12-17,11:28:50,Main Camera,Live Camera,FALL CONFIRMED
32,16019,2025-12-17,11:28:51,Main Camera,Live Camera,FALL CONFIRMED
33,16019,2025-12-17,11:29:07,Main Camera,Live Camera,FALL CONFIRMED
34,14019,2025-12-17,11:29:13,Main Camera,Live Camera,FALL CONFIRMED
35,18018,2025-12-17,11:30:05,Main Camera,Live Camera,FALL CONFIRMED
36,18019,2025-12-17,11:41:56,Main Camera,Live Camera,FALL CONFIRMED
37,18019,2025-12-17,11:42:08,Main Camera,Live Camera,FALL CONFIRMED
38,18019,2025-12-17,11:42:32,Main Camera,Live Camera,FALL CONFIRMED
39,2020,2025-12-17,11:42:48,Main Camera,Live Camera,FALL CONFIRMED
40,16019,2025-12-17,11:43:00,Main Camera,Live Camera,FALL CONFIRMED
41,16019,2025-12-17,11:43:14,Main Camera,Live Camera,FALL CONFIRMED
42,15020,2025-12-17,12:05:16,Main Camera,Live Camera,FALL CONFIRMED
43,17020,2025-12-17,12:05:33,Main Camera,Live Camera,FALL CONFIRMED
44,13020,2025-12-17,12:06:07,Main Camera,Live Camera,FALL CONFIRMED
45,20,2025-12-17,12:06:09,Main Camera,Live Camera,FALL CONFIRMED
46,12020,2025-12-17,12:06:37,Main Camera,Live Camera,FALL CONFIRMED
47,12020,2025-12-17,12:06:52,Main Camera,Live Camera,FALL CONFIRMED
48,13020,2025-12-17,12:17:38,Main Camera,Live Camera,FALL CONFIRMED
49,13020,2025-12-17,12:18:28,Main Camera,Live Camera,FALL CONFIRMED
50,1020,2025-12-17,12:18:29,Main Camera,Live Camera,FALL CONFIRMED
51,1020,2025-12-17,12:18:38,Main Camera,Live Camera,FALL CONFIRMED
52,1020,2025-12-17,12:18:58,Main Camera,Live Camera,FALL CONFIRMED
53,16020,2025-12-17,12:26:03,Main Camera,Live Camera,FALL CONFIRMED
54,17020,2025-12-17,12:26:17,Main Camera,Live Camera,FALL CONFIRMED
55,16020,2025-12-17,12:26:18,Main Camera,Live Camera,FALL CONFIRMED
56,17020,2025-12-17,12:26:37,Main Camera,Live Camera,FALL CONFIRMED
57,17020,2025-12-17,12:27:12,Main Camera,Live Camera,FALL CONFIRMED
58,17020,2025-12-17,12:28:05,Main Camera,Live Camera,FALL CONFIRMED
59,15020,2025-12-17,12:28:14,Main Camera,Live Camera,FALL CONFIRMED
60,17020,2025-12-17,12:28:28,Main Camera,Live Camera,FALL CONFIRMED
61,9013,2025-12-17,14:01:33,Main Camera,Live Camera,FALL CONFIRMED
